Domain;Phylum;Class;Order;Family;Genus;Species;EMCF01;EMCF02;EMCF03;EMCF04;EMCF05;EMCF06;EMCF09;EMCF10;EMCF13;EMCF14;EMCF16;EMCF17;EMCF18;EMCF19;EMCF21;EMCF22;EMCF25;EMCF26;EMCF27;EMCF28;EMCF29;EMCF30;EMCF31;EMCF32;EMCF33;EMCF34;EMCF35;EMCF36;EMCF37;KGCF01;KGCF02;KGCF03;KGCF04;KGCF05;KGCF06;KGCF07;KGCF10;KGCF11;KGCF12;KGCF13;KGCF14;KGCF15;KGCF16;KGCF17;KGCF18;KGCF19;KGCF21;KGCF22;KGCF24;KGCF25;KGCF26;KGCF27;KGCF28;KGCF29;KGCF30;KGCF32;KGCF33;KGCF34;KGCF35;KGCF36;KGCF37;KGCF38;KGCF39;KGCF40;KGCF41;KGCF42;KGCF43;KGCF44;KGCF45;KGCF46;KGCF47;KGCF48;KGCF49;KGCF50;KGCF51;KGCF52;KGCF53;KGCF55;KGCF56;KGCF57;KGCF58;MCF01s1;MCF01s2;MCF01s3;MCF01s4;MCF01s5;MCF01s6;MCF01s7;MCF02s1;MCF02s2;MCF02s3;MCF02s4;MCF03s1;MCF03s2;MCF04s1;MCF04s2;MCF05s1;MCF05s2;MCF06s1;MCF06s2;MCF06s3;MCF06s4;MCF07s1;MCF07s2;MCF07s3;MCF08s1;MCF08s2;MCF08s3;MCF09s1;MCF09s2;MCF09s3;MCF10s1;MCF10s2;MCF11s1;MCF11s2;MCF11s3;MCF12s1;MCF12s2;MCF12s3;MCF13s1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bacteria;Proteobacteria;Betaproteobacteria;Rhodocyclales;Zoogloeaceae;Azoarcus;Azoarcus aromaticum;0;0;0;0;0;0;0;0;0;0.0001;0.0002;0.0009;0;0;0.0069;0;0;0;0;0;0;0.0001;0;0.0001;0;0.0008;0;0;0;0.0001;0;0;0;0.0007;0;0;0;0;0;0;0;0;0;0;0;0.0001;0;0.0004;0.0019;0.0006;0.0022;0.0004;0.001;0.0001;0;0;0.0011;0;0.0003;0.0001;0.0001;0;0;0.012;0;0.0007;0;0;0.0028;0;0;0.0003;0;0.0007;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0002;0;0;0;0;0;0;0.0002;0;0.001;0.0003;0;0.0001;0;0;0;0;0;0;0;0;0;0;0.0026;0;0;0;0.0008;0;0.0001;0.0001;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bacteria;Proteobacteria;Betaproteobacteria;Rhodocyclales;Zoogloeaceae;Azoarcus;Azoarcus olearius;0;0;0;0;0.0008;0;0.0262;0;0;0.0001;0.0009;0.0006;0;0;0.0078;0.0001;0.0001;0.0008;0;0.0002;0.002;0;0;0.0001;0.0001;0.0011;0.0001;0.0006;0;0.0002;0.0001;0;0;0.0015;0;0;0;0;0.0006;0.0002;0;0.0002;0;0.2744;0.0248;0.0001;0;0.0002;0.0019;0.0009;0.0119;0.0001;0.0015;0.0003;0.0001;0.001;0.0028;0;0.0003;0.0002;0.0001;0.0007;0;0.0097;0;0;0;0;0.0013;0;0;0;0;0.0003;0;0;0;0.0004;0;0;0.0002;0;0;0;0;0;0;0;0;0.0001;0;0;0;0;0.0002;0;0;0;0.0017;0.0008;0;0.0002;0;0;0;0;0;0;0;0.0001;0.0001;0;0.0024;0;0;0.0001;0.0015;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bacteria;Proteobacteria;Betaproteobacteria;Rhodocyclales;Zoogloeaceae;Thauera;Thauera chlorobenzoica;0;0;0;0.0004;0.0006;0;0;0;0;0;0;0.0007;0;0;0.0045;0;0;0.0001;0;0.0008;0;0.0001;0;0.0001;0.0002;0.0004;0;0;0;0.0006;0;0.0001;0;0.0012;0.0005;0;0;0;0;0.0002;0.0066;0;0;0;0;0;0;0.0739;0.0017;0.0004;0.0034;0.0313;0.0254;0.0002;0.0001;0;0.0025;0;0.0005;0.0004;0;0.0004;0;0.023;0;0;0;0;0.0048;0;0;0;0;0;0;0;0;0.0002;0.0001;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0001;0;0;0.0001;0.0052;0.0124;0;0;0;0;0;0;0;0;0;0;0.0001;0;0.0022;0;0;0;0.0024;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bacteria;Proteobacteria;Betaproteobacteria;Rhodocyclales;Zoogloeaceae;Thauera;Thauera humireducens;0;0;0;0.0001;0.0003;0;0;0;0;0;0;0.0004;0;0;0.0103;0;0;0.0002;0;0.0012;0.0004;0.0001;0;0.0002;0;0.0008;0.0002;0;0;0.0004;0;0;0.0003;0.0021;0;0;0;0;0.0007;0;0;0.0001;0;0;0;0.0001;0.0008;0.0009;0.0022;0.0013;0.0027;0.0001;0.0017;0.0002;0.0001;0;0.0036;0;0.0012;0.0003;0;0.0004;0.0001;0.0021;0;0;0.0027;0;0;0.0149;0;0;0;0;0;0;0;0.0002;0;0;0;0;0;0.0002;0;0;0;0;0.0001;0.0001;0;0;0;0;0;0;0;0;0.0024;0;0;0;0;0;0.0003;0;0;0.0001;0;0;0;0.0001;0.0019;0.0002;0;0.0001;0.0013;0;0.0002;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Yersiniaceae;Chania;Chania multitudinisentens;0;0;0;0;0.0001;0;0;0.0002;0;0;0.003;0;0;0;0.0008;0.0001;0;0.0008;0;0.0122;0;0.0005;0;0;0;0.0018;0;0;0;0;0;0;0.0005;0.0002;0.0077;0;0;0.0003;0.0003;0.0032;0.009;0;0.0082;0.1335;0.0034;0.0006;0.0111;0.0035;0.0005;0.0008;0.0096;0.0015;0.0011;0.0023;0.0002;0;0.0006;0;0.0002;0;0;0.0019;0;0.0125;0.0006;0;0;0;0.0032;0;0;0.0006;0;0.008;0;0;0;0;0;0;0.0012;0;0;0;0;0;0.0003;0;0;0;0.0001;0;0;0.0005;0.0001;0.0001;0;0;0;0.0003;0;0;0;0;0;0;0;0;0;0.0001;0;0;0.0005;0;0.0001;0;0;0;0;0.0002;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Yersiniaceae;Serratia;Serratia fonticola;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0002;0.0001;0;0.0002;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0001;0.0021;0;0;0;0;0;0;0.0015;0;0;0.0013;0.0012;0.0003;0;0.0001;0;0.0003;0;0;0.0001;0;0;0;0.0014;0;0;0;0;0;0;0;0;0;0.0005;0;0;0;0;0;0;0;0;0;0;0;0.0001;0.001;0;0;0;0.0001;0;0;0;0;0;0;0;0;0;0;0.0001;0;0;0.0004;0;0;0;0;0.0001;0;0;0.0002;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Yersiniaceae;Serratia;Serratia liquefaciens;0;0;0;0;0.0007;0;0;0.0001;0;0;0.0002;0.0001;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0002;0;0;0;0;0;0;0.0007;0;0;0;0;0.0002;0;0;0;0;0;0;0.0246;0;0.0002;0;0.0002;0;0.0003;0.0004;0.0001;0;0;0.0004;0;0.0001;0;0.0001;0;0;0;0;0.0003;0;0.0005;0.0016;0.0203;0;0;0.0013;0;0;0;0;0.0007;0.0027;0.0001;0.0006;0.0017;0;0;0.0006;0.0003;0.0002;0;0;0;0.0001;0;0;0;0;0;0;0;0;0;0;0;0.0001;0;0;0;0;0;0;0;0;0;0;0.0003;0;0.0001;0;0;0;0;0.0001;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Yersiniaceae;Serratia;Serratia rubidaea;0;0;0;0.0001;0;0;0;0;0;0;0.0006;0.0003;0;0;0.0029;0;0;0;0;0;0;0.0002;0;0;0;0.0002;0;0;0;0;0;0;0.0003;0.0003;0.0013;0;0;0.0004;0.0003;0.0013;0.0252;0;0.002;0;0;0;0.0039;0.0035;0.0008;0;0.0072;0.0019;0.0019;0.0005;0;0;0.0007;0;0.0003;0;0;0;0;0.0052;0;0;0;0.0001;0.0024;0;0;0.0021;0;0.0003;0.0091;0;0;0.0002;0.0001;0;0;0;0;0.0006;0;0;0;0;0;0.0001;0;0;0;0;0;0;0;0;0.0007;0.0006;0.0002;0.0011;0;0;0.0085;0;0;0;0;0.0001;0;0;0.0004;0.0002;0.0001;0;0.0045;0;0.0001;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Yersiniaceae;Yersinia;Yersinia aleksiciae;0;0;0;0.0004;0.0021;0.0008;0;0.0008;0;0.0002;0.002;0.0001;0;0;0;0;0.0005;0.0004;0;0.0003;0;0;0.0001;0;0;0.0002;0.0005;0;0;0;0;0;0;0.0004;0.0014;0;0;0;0;0;0.0093;0.0003;0.0008;0.0087;0.0092;0;0.002;0.0018;0.0005;0.0038;0.0012;0.0014;0.0072;0.0002;0.0002;0;0.0003;0.0001;0.0018;0;0;0.0034;0;0.0021;0.0005;0;0;0.0002;0.0044;0;0;0.0006;0;0.0068;0;0;0;0.0012;0;0;0.0013;0;0;0.0002;0.0005;0.0026;0.0007;0;0;0;0;0;0;0;0.0003;0;0;0;0.0001;0.0007;0;0.0003;0.0002;0;0.0007;0;0;0;0;0;0;0;0.0006;0.0003;0;0;0.0003;0;0.0031;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Yersiniaceae;Yersinia;Yersinia similis;0;0;0;0;0;0.0006;0;0;0;0;0.0006;0.0001;0;0;0.0003;0;0;0.0002;0;0.0046;0;0;0;0;0;0.0005;0;0;0;0;0;0;0;0;0;0;0;0.0002;0;0.0008;0;0;0;0;0;0.0001;0.0002;0.0016;0;0;0;0.0004;0.0004;0;0;0;0;0;0.0001;0;0;0;0;0;0;0.0007;0;0;0.0012;0;0;0.0002;0;0.0031;0;0;0;0;0.0004;0;0.0002;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0001;0;0.0011;0;0;0;0;0;0;0;0.001;0;0;0;0.0002;0;0.0002;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
