Accession;Platform;Total bases;SRA filename;FastQ URL;FastQ filename;Submitter_id;;Metadata_name
ERR4129700;NextSeq 550;59;ERR4129700.sra;ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR412/000/ERR4129700/ERR4129700.fastq.gz;ERR4129700.fastq.gz;1;CF;EMCF01
ERR4129701;NextSeq 550;1100;ERR4129701.sra;ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR412/001/ERR4129701/ERR4129701.fastq.gz;ERR4129701.fastq.gz;2;CF;EMCF02
ERR4129702;NextSeq 550;868;ERR4129702.sra;ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR412/002/ERR4129702/ERR4129702.fastq.gz;ERR4129702.fastq.gz;3;CF;EMCF03
ERR4129703;NextSeq 550;3410;ERR4129703.sra;ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR412/003/ERR4129703/ERR4129703.fastq.gz;ERR4129703.fastq.gz;4;CF;EMCF04
ERR4129704;NextSeq 550;8085;ERR4129704.sra;ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR412/004/ERR4129704/ERR4129704.fastq.gz;ERR4129704.fastq.gz;5;CF;EMCF05
ERR4129705;NextSeq 550;7604;ERR4129705.sra;ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR412/005/ERR4129705/ERR4129705.fastq.gz;ERR4129705.fastq.gz;6;CF;EMCF06
ERR4129706;NextSeq 550;566;ERR4129706.sra;ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR412/006/ERR4129706/ERR4129706.fastq.gz;ERR4129706.fastq.gz;7;CF;EMCF09
ERR4129707;NextSeq 550;10646;ERR4129707.sra;ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR412/007/ERR4129707/ERR4129707.fastq.gz;ERR4129707.fastq.gz;8;CF;EMCF10
ERR4129708;NextSeq 550;356;ERR4129708.sra;ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR412/008/ERR4129708/ERR4129708.fastq.gz;ERR4129708.fastq.gz;9;CF;EMCF13
ERR4129709;NextSeq 550;543;ERR4129709.sra;ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR412/009/ERR4129709/ERR4129709.fastq.gz;ERR4129709.fastq.gz;10;CF;EMCF14
ERR4129710;NextSeq 550;22784;ERR4129710.sra;ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR412/000/ERR4129710/ERR4129710.fastq.gz;ERR4129710.fastq.gz;11;CF;EMCF16
ERR4129711;NextSeq 550;4468;ERR4129711.sra;ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR412/001/ERR4129711/ERR4129711.fastq.gz;ERR4129711.fastq.gz;12;CF;EMCF17
ERR4129712;NextSeq 550;706;ERR4129712.sra;ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR412/002/ERR4129712/ERR4129712.fastq.gz;ERR4129712.fastq.gz;13;CF;EMCF18
ERR4129713;NextSeq 550;627;ERR4129713.sra;ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR412/003/ERR4129713/ERR4129713.fastq.gz;ERR4129713.fastq.gz;14;CF;EMCF19
ERR4129714;NextSeq 550;30809;ERR4129714.sra;ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR412/004/ERR4129714/ERR4129714.fastq.gz;ERR4129714.fastq.gz;15;CF;EMCF21
ERR4129715;NextSeq 550;320;ERR4129715.sra;ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR412/005/ERR4129715/ERR4129715.fastq.gz;ERR4129715.fastq.gz;16;CF;EMCF22
ERR4129716;NextSeq 550;960;ERR4129716.sra;ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR412/006/ERR4129716/ERR4129716.fastq.gz;ERR4129716.fastq.gz;17;CF;EMCF25
ERR4129717;NextSeq 550;17341;ERR4129717.sra;ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR412/007/ERR4129717/ERR4129717.fastq.gz;ERR4129717.fastq.gz;18;CF;EMCF26
ERR4129718;NextSeq 550;244;ERR4129718.sra;ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR412/008/ERR4129718/ERR4129718.fastq.gz;ERR4129718.fastq.gz;19;CF;EMCF27
ERR4129719;NextSeq 550;31165;ERR4129719.sra;ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR412/009/ERR4129719/ERR4129719.fastq.gz;ERR4129719.fastq.gz;20;CF;EMCF28
ERR4129720;NextSeq 550;1803;ERR4129720.sra;ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR412/000/ERR4129720/ERR4129720.fastq.gz;ERR4129720.fastq.gz;21;CF;EMCF29
ERR4129721;NextSeq 550;12507;ERR4129721.sra;ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR412/001/ERR4129721/ERR4129721.fastq.gz;ERR4129721.fastq.gz;22;CF;EMCF30
ERR4129722;NextSeq 550;2893;ERR4129722.sra;ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR412/002/ERR4129722/ERR4129722.fastq.gz;ERR4129722.fastq.gz;23;CF;EMCF31
ERR4129723;NextSeq 550;12304;ERR4129723.sra;ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR412/003/ERR4129723/ERR4129723.fastq.gz;ERR4129723.fastq.gz;24;CF;EMCF32
ERR4129724;NextSeq 550;1119;ERR4129724.sra;ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR412/004/ERR4129724/ERR4129724.fastq.gz;ERR4129724.fastq.gz;25;CF;EMCF33
ERR4129725;NextSeq 550;12502;ERR4129725.sra;ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR412/005/ERR4129725/ERR4129725.fastq.gz;ERR4129725.fastq.gz;26;CF;EMCF34
ERR4129726;NextSeq 550;3630;ERR4129726.sra;ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR412/006/ERR4129726/ERR4129726.fastq.gz;ERR4129726.fastq.gz;27;CF;EMCF35
ERR4129727;NextSeq 550;3676;ERR4129727.sra;ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR412/007/ERR4129727/ERR4129727.fastq.gz;ERR4129727.fastq.gz;28;CF;EMCF36
ERR4129728;NextSeq 550;1326;ERR4129728.sra;ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR412/008/ERR4129728/ERR4129728.fastq.gz;ERR4129728.fastq.gz;29;CF;EMCF37
ERR4129729;NextSeq 550;22815;ERR4129729.sra;ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR412/009/ERR4129729/ERR4129729.fastq.gz;ERR4129729.fastq.gz;30_1;CF;MCF01s1
ERR4129730;NextSeq 550;41495;ERR4129730.sra;ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR412/000/ERR4129730/ERR4129730.fastq.gz;ERR4129730.fastq.gz;30_2;CF;MCF01s2
ERR4129731;NextSeq 550;9651;ERR4129731.sra;ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR412/001/ERR4129731/ERR4129731.fastq.gz;ERR4129731.fastq.gz;30_3;CF;MCF01s3
ERR4129732;NextSeq 550;1525;ERR4129732.sra;ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR412/002/ERR4129732/ERR4129732.fastq.gz;ERR4129732.fastq.gz;30_4;CF;MCF01s4
ERR4129733;NextSeq 550;28881;ERR4129733.sra;ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR412/003/ERR4129733/ERR4129733.fastq.gz;ERR4129733.fastq.gz;30_5;CF;MCF01s5
